title,artist,filename,genre
Knight -> King 4,Pagan Wanderer Lu,Pagan Wanderer Lu - Knight -_ King 4.mp3,"indietronica, electropop, post rock, electro, singer-songwriter"
On Fait Ce Qu'on Peut,Uman,Uman - On Fait Ce Qu'on Peut.mp3,"chill-out, psychedelic trance, goa, downtempo, ambient"
Where Are You,Abbott & Chambers,Abbott & Chambers - Where Are You.mp3,"progressive trance, trance, hard trance, electronic, vocal trance"
Linda Mariposa,Alfredo Gutierrez,Alfredo Gutierrez - Linda Mariposa.mp3,"louisiana blues, merengue, jump blues, east coast blues, salsa"
SFM,Basement Jaxx,Basement Jaxx - SFM.mp3,"progressive house, club, electronica, england, london"
Get Down,Gilbert O'Sullivan,Gilbert O'Sullivan - Get Down.mp3,"hip hop, gangster rap, chill-out, gregorian chant, pop rap"
Como Boomerang,Juan Carlos Baglietto,Juan Carlos Baglietto - Como Boomerang.mp3,"tango, ballad, male vocalist, rock, argentina"
L4-L5,Amilcar,Amilcar - L4-L5.mp3,"meditation, new wave, new age, reggae, soundtrack"
"Lemons, For Kevin",Alternative TV,"Alternative TV - Lemons, For Kevin.mp3","experimental rock, new wave, indie rock, punk, no wave"
Bateu No Paladar,Moraes Moreira,Moraes Moreira - Bateu No Paladar.mp3,"latin jazz, bossa nova, brazilian pop music, samba, batucada"
Dido,Kekele,Kekele - Dido.mp3,"soukous, congo, rumba, world music, africa"
Keep on dancin' (Last man standin'),Alex Gopher,Alex Gopher - Keep on dancin' (Last man standin').mp3,"deep house, future jazz, trip hop, downtempo, disco"
Submit,Freakhouse,Freakhouse - Submit.mp3,"alternative metal, industrial rock, nu metal, hard rock, disco"
Screen Kiss,Thomas Dolby,Thomas Dolby - Screen Kiss.mp3,"pop rock, new wave, europop, tech house, disco"
Three Little Fishes,Frankie Howard,Frankie Howard - Three Little Fishes.mp3,"funny, comedy, stand-up comedy, london"
I Don't Want Your Love,Dealership,Dealership - I Don't Want Your Love.mp3,"indie rock, twee pop, noise pop, indie pop, post rock"
Come out into the Open,Neil Innes,Neil Innes - Come out into the Open.mp3,"pop rock, parody, blues-rock, vaudeville, rock"
How Ya Like Me Now,Kool Moe Dee,Kool Moe Dee - How Ya Like Me Now.mp3,"hip hop, pop rap, ballad, disco, electro"
Amor Siciliano,Juan Carlos Baglietto,Juan Carlos Baglietto - Amor Siciliano.mp3,"tango, ballad, male vocalist, rock, argentina"
A Little Louder (Edit Version),DJ Icey,DJ Icey - A Little Louder (Edit Version).mp3,"breakbeat, big beat, nu breaks, trip hop, progressive trance"
Abilene,Highwaymen,Highwaymen - Abilene.mp3,"folk-pop, outlaw country, alternative country, country rock, psychedelic trance"
A Simple Desultory Philippic (Or How I Was Robert McNamara'd Into Submission),Paul Simon,Paul Simon - A Simple Desultory Philippic (Or How I Was Robert McNamara'd Into Submission).mp3,"folk-pop, folk rock, soft rock, classic rock, singer-songwriter"
Crow Killer,Unearth,Unearth - Crow Killer.mp3,"post-hardcore, hardcore, metal, thrash metal, metalcore"
Rocket (2011 Remaster),The Smashing Pumpkins,The Smashing Pumpkins - Rocket (2011 Remaster).mp3,"alternative rock, pop, rock, alternative, chicago"
Dancing Shoes (Take Me Higher) (Más Tiempo Mix by Skepta & Jammer),LF SYSTEM,LF SYSTEM - Dancing Shoes (Take Me Higher) (Más Tiempo Mix by Skepta & Jammer).mp3,"modern rock, ccm, christian rock, pop, singer-songwriter"
Passin' The Faith Along (Live),Gaither Vocal Band,Gaither Vocal Band - Passin' The Faith Along (Live).mp3,"ccm, southern gospel, christian music, close harmony, united states"
Voices Of Other Times,Brian Auger's Oblivion Express,Brian Auger's Oblivion Express - Voices Of Other Times.mp3,"jazz fusion, jazz funk, acid jazz, psychedelic rock, art rock"
Ayer,El Gran Silencio,El Gran Silencio - Ayer.mp3,"cumbia, vallenato, ragamuffin, rapcore, ska"
Three Wheel Cadillac (2016 Remaster),Foghat,Foghat - Three Wheel Cadillac (2016 Remaster).mp3,"blues-rock, hard rock, heavy metal, classic rock, pop rock"
Belle Isle Players,Starski and Clutch,Starski and Clutch - Belle Isle Players.mp3,"ghetto tech, electro, techno, electronic, detroit"
Musical 69,Pepper,Pepper - Musical 69.mp3,"reggae, alternative rock, country, rock, pop"
"Dreidel, Dreidel, Dreidel, Dreidel!",Schoolyard Heroes,"Schoolyard Heroes - Dreidel, Dreidel, Dreidel, Dreidel!.mp3","horror punk, alternative metal, shock rock, opera, post-hardcore"
You Are Always On My Mind,Barbara Jones,Barbara Jones - You Are Always On My Mind.mp3,"lovers rock, roots reggae, reggae, dub, rock steady"
Prick For President,Yuppie Pricks,Yuppie Pricks - Prick For President.mp3,"rock, punk, garage, sxsw 2007, united states"
No Buts and No Maybes,Professor Longhair,Professor Longhair - No Buts and No Maybes.mp3,"louisiana blues, new orleans blues, piano blues, delta blues, blues"
Port Now!,Sirka Ragnar,Sirka Ragnar - Port Now!.mp3,"indietronica, electronica, indie, pop, rock"
Misty,King Curtis,King Curtis - Misty.mp3,"instrumental rock, southern soul, soul jazz, east coast blues, jazz funk"
Supercuts,Rodney O & Joe Cooley,Rodney O & Joe Cooley - Supercuts.mp3,"miami bass, old school hip hop, hip hop, rap, electro"
All at Sea,Richard Walters,Richard Walters - All at Sea.mp3,"old school hip hop, singer-songwriter, hip hop, acoustic, folk"
Cattle Call,Slim Whitman,Slim Whitman - Cattle Call.mp3,"folk-pop, country rock, pop rock, classic country, ballad"
The Folks Who Live On The Hill/Yesterdays (Live Medley),The Charlie Byrd Trio,The Charlie Byrd Trio - The Folks Who Live On The Hill_Yesterdays (Live Medley).mp3,"samba, bossa nova, smooth jazz, jazz, latin"
Goofus,Les Paul,Les Paul - Goofus.mp3,"space age pop, oldies, jazz, ballad, california"
Second Chances,Little Brother,Little Brother - Second Chances.mp3,"hip hop, neo soul, underground rap, alternative hip hop, trip hop"
Annie's Angle,Mando Diao,Mando Diao - Annie's Angle.mp3,"blues-rock, garage rock, rock, pop, indie"
Waheera,Arturo Sandoval,Arturo Sandoval - Waheera.mp3,"latin jazz, mambo, jazz, free jazz, smooth jazz"
Kudian Kudian,Babbu Maan,Babbu Maan - Kudian Kudian.mp3,"bhangra, desi, world music, indian, india"
Fall In Love,Glen Ricks,Glen Ricks - Fall In Love.mp3,"lovers rock, roots reggae, rock steady, dancehall, reggae"
Wake Me Up (Radio Version),Richi M.,Richi M. - Wake Me Up (Radio Version).mp3,"hard trance, trance, hard house, europop, speed garage"
Autores Anonimos,Chango Spasiuk,Chango Spasiuk - Autores Anonimos.mp3,"polka, jam band, tango, salsa, freak folk"
The All-Ireland,Christie Hennessy,Christie Hennessy - The All-Ireland.mp3,"deep house, chill-out, tech house, irish folk, dub"
Gullveig,Black Messiah,Black Messiah - Gullveig.mp3,"viking metal, sympho black metal, black metal, folk metal, humppa"
Sixth of June,It Dies Today,It Dies Today - Sixth of June.mp3,"post-hardcore, melodic metalcore, doom metal, heavy metal, screamo"
Cutting Edge,Pablo Bozzi,Pablo Bozzi - Cutting Edge.mp3,"grunge, progressive metal, new wave, progressive rock, hip hop"
Motorcycle Girl,Eric Burdon,Eric Burdon - Motorcycle Girl.mp3,"blues-rock, british blues, blue-eyed soul, british invasion, pop rock"
Family Galaxy,Tim Exile,Tim Exile - Family Galaxy.mp3,"breakcore, gabba, breakbeat, jungle music, dubstep"
You Were On the Right Street,Little Milton,Little Milton - You Were On the Right Street.mp3,"electric blues, soul blues, blues, chicago blues, delta blues"
Please Listen To My Demo,EPMD,EPMD - Please Listen To My Demo.mp3,"hip hop, big beat, old school hip hop, hardcore rap, east coast rap"
Zuo Li Bu An,Tanya Chua,Tanya Chua - Zuo Li Bu An.mp3,"mandarin pop, ballad, easy listening, emo, indie pop"
Festival Of Love - Original,Gene Chandler,Gene Chandler - Festival Of Love - Original.mp3,"chicago soul, northern soul, doo-wop, soul, r&b"
I Wouldn't Change A Thing,Bobby Vee and the Vees,Bobby Vee and the Vees - I Wouldn't Change A Thing.mp3,"brill building pop, soft rock, ballad, doo-wop, pop rock"
Halloween II,Misfits,Misfits - Halloween II.mp3,"horror punk, hardcore punk, punk, american underground, classic rock"
Blood Will Fall,Demonbreed,Demonbreed - Blood Will Fall.mp3,"thrash core, thrash metal, death metal, metal, guitar"
Deep Blue Sea (Daniel Rossen Home Recording),Grizzly Bear,Grizzly Bear - Deep Blue Sea (Daniel Rossen Home Recording).mp3,"folk-pop, folk, rock, pop, indie"
El Gallo y la Vaca,Richie Ray & Bobby Cruz,Richie Ray & Bobby Cruz - El Gallo y la Vaca.mp3,"salsa, mambo, latin jazz, classic rock, jazz"
Lo and Beholden (Radio Edit),Patti Smith,Patti Smith - Lo and Beholden (Radio Edit).mp3,"rock, alternative, chicago, protopunk, new york punk"
Pennies From Heaven (Original Mix),Dean Martin,Dean Martin - Pennies From Heaven (Original Mix).mp3,"vocal, pop, lounge, traditional pop, classic"
Ammohostos,George Dalaras,George Dalaras - Ammohostos.mp3,"rebetika, easy listening, world music, folk, world"
Sinnloz/Anakonda (Live Zürich 19. März 1983),Der Moderne Man,Der Moderne Man - Sinnloz_Anakonda (Live Zürich 19. März 1983).mp3,"new wave, neue deutsche welle, kraut rock, rock, alternative rock"
Me Recuso,Gal Costa,Gal Costa - Me Recuso.mp3,"brazilian pop music, tropical, bossa nova, samba, brazilian jazz"
Mirror Dance,Christophe Beck,Christophe Beck - Mirror Dance.mp3,"electronica, soundtrack, synthpop, electronic, pop rock"
Take the Long Way Home,Faithless,Faithless - Take the Long Way Home.mp3,"progressive house, electronica, england, london, club dance"
Ghost of the Ocean (Live),Uriah Heep,Uriah Heep - Ghost of the Ocean (Live).mp3,"heavy metal, hard rock, classic rock, blues-rock, art rock"
La Vérité,Annie Blanchard,Annie Blanchard - La Vérité.mp3,"pop folk, los angeles, french, country"
In The Wordless Chamber,Emperor,Emperor - In The Wordless Chamber.mp3,"heavy metal, black metal, sympho black metal, hard trance, death metal"
How Bad Do You Want It (Album Version),Mark Wills,Mark Wills - How Bad Do You Want It (Album Version).mp3,"bluegrass, country rock, country, contemporary country, male vocalist"
Belly Dancer (Bananza) (Remix),Akon,Akon - Belly Dancer (Bananza) (Remix).mp3,"hip hop, urban, pop, club, jazz"
The Mission (Acoustic Version),Stephen Marley,Stephen Marley - The Mission (Acoustic Version).mp3,"roots reggae, ragamuffin, reggae, dancehall, chill-out"
Azzurro,Jaime Urrutia,Jaime Urrutia - Azzurro.mp3,"rockabilly, pop rock, singer-songwriter, rock, spanish"
Olê Olá,Grupo Batuque,Grupo Batuque - Olê Olá.mp3,"future jazz, brazilian jazz, samba, batucada, broken beat"
Je me sens libre,Bonsugi,Bonsugi - Je me sens libre.mp3,"tech house, brazilian pop music, hard house, hard trance, bossa nova"
Vals '89,Manolis Famellos & I Podilates,Manolis Famellos & I Podilates - Vals '89.mp3,greek
Maria Morena (Paso-doble),Andre Verchuren,Andre Verchuren - Maria Morena (Paso-doble).mp3,"chanson, musette, bossa nova, folk, easy listening"
Widow's Weeds,Silversun Pickups,Silversun Pickups - Widow's Weeds.mp3,"no wave, rock, punk, deathrock, noise"
Un petit cabanon pas plus grand qu'un mouchoir de poche,Darcelys,Darcelys - Un petit cabanon pas plus grand qu'un mouchoir de poche.mp3,chanson francaise
The Frog Song,Alain-François,Alain-François - The Frog Song.mp3,french pop
Bad,Tomash gee,Tomash gee - Bad.mp3,"techno, schranz, electronic, poland, germany"
Moore Street Girls,The Elders,The Elders - Moore Street Girls.mp3,"celtic rock, folk rock, roots rock, celtic, progressive rock"
STAR TREK: DEEP SPACE NINE Main Title for Solo Piano (After 3:00 AM at Quarks),Dennis McCarthy,Dennis McCarthy - STAR TREK_ DEEP SPACE NINE Main Title for Solo Piano (After 3_00 AM at Quarks).mp3,"experimental rock, german pop, electro, electronic, soundtrack"
Boo Hoo (Acoustic Extravaganza Version),KT Tunstall,KT Tunstall - Boo Hoo (Acoustic Extravaganza Version).mp3,"folk-pop, country rock, folk rock, singer-songwriter, rock"
Lametavolante,Facto Delafe y las flores azules,Facto Delafe y las flores azules - Lametavolante.mp3,"trip hop, downtempo, hip pop, hip hop, indie pop"
Estar Junto a Ti (Angel),Yuridia,Yuridia - Estar Junto a Ti (Angel).mp3,"latin pop, emo, singer-songwriter, pop, latin"
Navicularia,Berrogüetto,Berrogüetto - Navicularia.mp3,"gaita, celtic, folk, female vocalist, traditional"
You Are,Christian Quast,Christian Quast - You Are.mp3,"tech house, deep house, techno, broken beat, electronic"
Le Pull over,Gloria Lasso,Gloria Lasso - Le Pull over.mp3,"europop, chanson, pop rock, downtempo, latin"
Speak Softly,Claw Hammer,Claw Hammer - Speak Softly.mp3,"alternative rock, garage rock, rock, punk, hard rock"
(The Grave Prelude),Mobb Deep,Mobb Deep - (The Grave Prelude).mp3,"gangster rap, hip hop, rap, hardcore rap, east coast rap"
A Song For You (Radio),Bizzy Bone,Bizzy Bone - A Song For You (Radio).mp3,"gangster rap, g funk, hip hop, rap, dirty south rap"
Arabian Nights,James Monroe Iglehart,James Monroe Iglehart - Arabian Nights.mp3,"new romantic, new wave, power pop, string quartet, ballad"
Losing Love (DJ Wout Remix),Milk Inc.,Milk Inc. - Losing Love (DJ Wout Remix).mp3,"dance pop, progressive trance, progressive house, techno, euro-trance"
Get Free,Major Lazer,Major Lazer - Get Free.mp3,"dirty rap, gangster rap, dirty south rap, jungle music, crunk"
Sometimes I,Plasmatics,Plasmatics - Sometimes I.mp3,"trip hop, hard rock, hard trance, hard house, gabba"
The Wind (Tears For You),CeCe Winans,CeCe Winans - The Wind (Tears For You).mp3,"ccm, r&b, urban, gospel, contemporary christian"
"Good Girls, Bad Guys",DMX,"DMX - Good Girls, Bad Guys.mp3","hip hop, rap, hardcore rap, east coast rap, gangster rap"
Old Shep,Red Foley,Red Foley - Old Shep.mp3,"country gospel, honky tonk, classic country, western swing, country rock"
Don't Panic,Coldplay,Coldplay - Don't Panic.mp3,"piano rock, british pop, rock, alternative rock, indie rock"
El Terror,Orquesta Harlow,Orquesta Harlow - El Terror.mp3,"latin jazz, salsa, mambo, funk, united states"
"Why, Now Baby?",Red Stick Ramblers,"Red Stick Ramblers - Why, Now Baby_.mp3","los angeles, zydeco, bluegrass, rock, blues"
Runnin' Away,Eddie Money,Eddie Money - Runnin' Away.mp3,"pop rock, classic rock, soft rock, glam rock, rock"
Three Times Seven,Doc & Merle Watson,Doc & Merle Watson - Three Times Seven.mp3,"bluegrass, blues, folk, country, acoustic"
All My Senses,Mando Diao,Mando Diao - All My Senses.mp3,"blues-rock, garage rock, rock, pop, indie"
Jesus Can Work It Out,The Jackson Southernaires,The Jackson Southernaires - Jesus Can Work It Out.mp3,"southern gospel, spiritual, gospel, black gospel, christian"
The Earth Will Shake (Album Version),Thrice,Thrice - The Earth Will Shake (Album Version).mp3,"post-hardcore, emo, rock, experimental, metalcore"
The Think Drink Theme,The Harvey Averne Dozen,The Harvey Averne Dozen - The Think Drink Theme.mp3,"boogaloo, jazz funk, soul jazz, latin jazz, acid jazz"
Bamboo Blue,Steven Halpern,Steven Halpern - Bamboo Blue.mp3,"meditation, future jazz, electronic, ambient, free jazz"
Ooh Wee Baby,Doyle Bramhall,Doyle Bramhall - Ooh Wee Baby.mp3,"blues-rock, texas blues, electric blues, blues, garage rock"
Givin' My Love,Clay Crosse,Clay Crosse - Givin' My Love.mp3,"ccm, pop rap, country rock, ballad, art rock"
Réjouissance (I'll Cry Instead),Joshua Rifkin,Joshua Rifkin - Réjouissance (I'll Cry Instead).mp3,"ragtime, easy listening, jazz, classical, baroque"
Ethiopian Serenade,Count Ossie,Count Ossie - Ethiopian Serenade.mp3,"roots reggae, reggae, ska, soul, saxophone"
Drunken's Man's Dream,Suzy Thompson,Suzy Thompson - Drunken's Man's Dream.mp3,"jug band, classic female blues, blues, slide, club"
Bartholdi's Dream,William Goldstein,William Goldstein - Bartholdi's Dream.mp3,"disco, easy listening, electronic, funk, ambient"
My Soul Is Gonna Live With God,Josh White,Josh White - My Soul Is Gonna Live With God.mp3,"delta blues, country blues, bluegrass, piedmont blues, blues"
Run's House,Run DMC,Run DMC - Run's House.mp3,"hip hop, old school hip hop, east coast rap, rap, hardcore rap"
All das mag ich,ÄI-TIEM,ÄI-TIEM - All das mag ich.mp3,"jungle music, hip hop, kraut rock, breakbeat, electronic"
Canção do Amor Demais,Elizeth Cardoso,Elizeth Cardoso - Canção do Amor Demais.mp3,"samba, brazilian pop music, bossa nova, portugal, brazilian"
Tatter Jack Walsh,The Russell Family,The Russell Family - Tatter Jack Walsh.mp3,"irish folk, celtic folk, traditional irish, irish, traditional"
Like Dylan in the Movies,Belle and Sebastian,Belle and Sebastian - Like Dylan in the Movies.mp3,"indie pop, chamber pop, twee pop, folk rock, rock"
The Kingdom - Titles,Danny Elfman,Danny Elfman - The Kingdom - Titles.mp3,"soundtrack, game, original score, movie soundtrack, movie score"
Who Can Handle Me Is You,Little Milton,Little Milton - Who Can Handle Me Is You.mp3,"electric blues, soul blues, blues, chicago blues, delta blues"
No Sympathy For Fools,Behemoth,Behemoth - No Sympathy For Fools.mp3,"black metal, death metal, heavy metal, extreme metal, blackened death metal"
Katie,Mary Black,Mary Black - Katie.mp3,"country rock, irish folk, folk rock, soft rock, ballad"
Lose This Skin (Remastered),The Clash,The Clash - Lose This Skin (Remastered).mp3,"new wave, classic rock, hard rock, hip hop, punk"
Night Of The Hunter,Thirty Seconds To Mars,Thirty Seconds To Mars - Night Of The Hunter.mp3,"rock, pop, alternative, screamo, hard rock"
Latinas,Flora Purim,Flora Purim - Latinas.mp3,"latin jazz, jazz funk, brazilian jazz, free improvisation, jazz"
Ojos Así,Shakira,Shakira - Ojos Así.mp3,"dance pop, pop, latin, urban, adult contemporary"
Think About Me (Album Version),Sister Hazel,Sister Hazel - Think About Me (Album Version).mp3,"post-grunge, southern rock, chill-out, soft rock, alternative dance"
How U Want It?,Ya Boy,Ya Boy - How U Want It_.mp3,"freestyle, gangster rap, hip hop, rap, underground hip hop"
Dogs,George Lopez,George Lopez - Dogs.mp3,"california, stand-up comedy, comedy, funny, spoken word"
C30 C60 C90 Go,Bow Wow Wow,Bow Wow Wow - C30 C60 C90 Go.mp3,"dance rock, new wave, europop, british pop, dance pop"
Rock America,Danger Danger,Danger Danger - Rock America.mp3,"glam metal, glam rock, heavy metal, hard rock, soft rock"
La machine,Pascal Obispo,Pascal Obispo - La machine.mp3,"europop, chanson, ballad, pop rock, rock 'n roll"
Get Away,Rooney,Rooney - Get Away.mp3,"power pop, alternative rock, rock, pop, los angeles"
Cabide,Mart'nália,Mart'nália - Cabide.mp3,"samba, brazilian pop music, frevo, batucada, tropical"
21st Century Time Bomb,Opiate for the Masses,Opiate for the Masses - 21st Century Time Bomb.mp3,"post-grunge, alternative metal, industrial metal, heavy metal, nu metal"
No Tendrás Casa,Kamelo Punto Semos,Kamelo Punto Semos - No Tendrás Casa.mp3,"los angeles, barcelona"
Exodus,Quincy Jones,Quincy Jones - Exodus.mp3,"bossa nova, jazz, funk, pop, soul"
Moonlight Lover,Barbara Jones,Barbara Jones - Moonlight Lover.mp3,"lovers rock, roots reggae, reggae, dub, rock steady"
Ebb Tide,Tony Martin,Tony Martin - Ebb Tide.mp3,"heavy metal, hard rock, honky tonk, flamenco, german pop"
Metamorphosis,AmaLee,AmaLee - Metamorphosis.mp3,"death metal, technical death metal, speed metal, tech metal, melodic death metal"
Africa,Dusminguet,Dusminguet - Africa.mp3,"rumba, cumbia, ska, reggae, folk rock"
Fortune Teller,The Rolling Stones,The Rolling Stones - Fortune Teller.mp3,"blues, hard rock, rock, england, london"
The Way I Loved You (Taylor’s Version),Taylor Swift,Taylor Swift - The Way I Loved You (Taylor’s Version).mp3,"country, pop, contemporary country, country pop, country music"
Les Corps Glorieux: III. L'Ange aux parfums,Timothy Byram-Wigfield,Timothy Byram-Wigfield - Les Corps Glorieux_ III. L'Ange aux parfums.mp3,"religious music, classical, contemporary, modern, meditation"
This Little Child (Brown) (Scott Wesley Brown Album Version),Scott Wesley Brown,Scott Wesley Brown - This Little Child (Brown) (Scott Wesley Brown Album Version).mp3,"modern rock, rock, inspirational, gospel, christian"
To Your Arms Of Love,Jah Cure,Jah Cure - To Your Arms Of Love.mp3,"roots reggae, reggae, dancehall, jamaica, roots"
Spanish Fly,Fudge Tunnel,Fudge Tunnel - Spanish Fly.mp3,"sludge metal, math rock, grunge, heavy metal, alternative rock"
Sleepwalker,Nightwish,Nightwish - Sleepwalker.mp3,"sympho black metal, progressive metal, heavy metal, rock, finish"
Where in the World,Tony Martin,Tony Martin - Where in the World.mp3,"heavy metal, hard rock, honky tonk, flamenco, german pop"
Way Way Back,Kool Moe Dee,Kool Moe Dee - Way Way Back.mp3,"hip hop, pop rap, ballad, disco, electro"
Twerk,Basement Jaxx,Basement Jaxx - Twerk.mp3,"progressive house, club, electronica, england, london"
Je n'irai pas ailleurs,France D'Amour,France D'Amour - Je n'irai pas ailleurs.mp3,"dance rock, pop rock, rock, french, francophone"
Tobacco Spit,Bare JR.,Bare JR. - Tobacco Spit.mp3,"post-grunge, alternative country, hard rock, male vocalist, alternative rock"
"On the Town: Act II: Night Club Sequence: So Long, Baby - I'm Blue - Ya Got Me",Nancy Walker,"Nancy Walker - On the Town_ Act II_ Night Club Sequence_ So Long, Baby - I'm Blue - Ya Got Me.mp3","vaudeville, jazz, blues, jazz vocal, folk"
Hoy Quiero Dedicártelo a Ti,Miguel Gallardo,Miguel Gallardo - Hoy Quiero Dedicártelo a Ti.mp3,"male vocalist, latin pop, mexico, latin, los angeles"
Just One Of Those Things,Dionne Warwick,Dionne Warwick - Just One Of Those Things.mp3,"brill building pop, quiet storm, ballad, easy listening, motown"
Finding My Way,Stanley Clarke,Stanley Clarke - Finding My Way.mp3,"jazz fusion, jazz funk, r&b, smooth jazz, funk"
Domino (Live),Kiss,Kiss - Domino (Live).mp3,"hard rock, heavy metal, rock, new york, guitar"
Southern Fried,DJ Nasty,DJ Nasty - Southern Fried.mp3,"bass music, electro, techno, hip hop, italian disco"
Crappy Shop (50 Cent Diss Track),Forensics,Forensics - Crappy Shop (50 Cent Diss Track).mp3,"dubstep, grime, dark ambient, screamo, alternative metal"
Harlem Nocturne,Les Brown,Les Brown - Harlem Nocturne.mp3,"blues-rock, jazz, easy listening, blues, ragtime"
Comme toi (Live En public 1986),Jean-Jacques Goldman,Jean-Jacques Goldman - Comme toi (Live En public 1986).mp3,"chanson, pop rock, europop, pop, ballad"
The High and the Mighty,Roger Williams,Roger Williams - The High and the Mighty.mp3,"instrumental pop, folk-pop, easy listening, jazz, folk"
Exiliado en el Lavabo,Estopa,Estopa - Exiliado en el Lavabo.mp3,"flamenco, dance pop, rumba, brazilian pop music, pop rock"
Again,Janet Jackson,Janet Jackson - Again.mp3,"dance pop, hip hop, rock, urban, pop"
Eu E Meu Coracao,João Gilberto,João Gilberto - Eu E Meu Coracao.mp3,"brazilian jazz, bossa nova, tropical, latin jazz, samba"
...and Heavens Cried Blood,Swallow The Sun,Swallow The Sun - ...and Heavens Cried Blood.mp3,"sympho black metal, doom metal, heavy metal, death metal, metal"
Love the One You're With,Francis Reed,Francis Reed - Love the One You're With.mp3,"lovers rock, reggae, roots reggae, dancehall, rock steady"
Go Now - Original,Dennis Brown,Dennis Brown - Go Now - Original.mp3,"roots reggae, lovers rock, reggae, dancehall, rock steady"
Voices Inside My Head (Remastered 2003),The Police,The Police - Voices Inside My Head (Remastered 2003).mp3,"new wave, reggae, classic rock, rock, pop"
Living Again,John Wesley Ryles,John Wesley Ryles - Living Again.mp3,"country, country pop, pop"
Sacred,Moonspell,Moonspell - Sacred.mp3,"sympho black metal, black metal, heavy metal, death metal, metal"
Fell In Love Today,Lee Michaels,Lee Michaels - Fell In Love Today.mp3,"blue-eyed soul, hard rock, pop rock, soul, blues-rock"
Nehi Mamma Blues,Frank Stokes,Frank Stokes - Nehi Mamma Blues.mp3,"country blues, memphis blues, jug band, delta blues, blues"
The Last Stand,Statues,Statues - The Last Stand.mp3,"power pop, pop punk, indie rock, punk, melodic punk"
Mosquito Coil,Zeromancer,Zeromancer - Mosquito Coil.mp3,"industrial rock, industrial metal, alternative rock, alternative dance, futurepop"
Hold on Tight (Nalin & Kane Remix),Lambda,Lambda - Hold on Tight (Nalin & Kane Remix).mp3,"progressive trance, hard trance, trance, tech house, techno"
In The Midst (feat. Tye Tribbett),Byron Cage,Byron Cage - In The Midst (feat. Tye Tribbett).mp3,"religious music, gospel, male vocalist, christian, soul"
Lip Smacker (Album Version),Poncho Sanchez,Poncho Sanchez - Lip Smacker (Album Version).mp3,"latin jazz, jazz funk, mambo, acid jazz, salsa"
You Turn Me,Vickie Winans,Vickie Winans - You Turn Me.mp3,"ccm, soul jazz, hip hop, italian disco, trip hop"
Smile,"The London Pops Orchestra, Nelson Corbin","The London Pops Orchestra, Nelson Corbin - Smile.mp3","easy listening, jazz, big band, orchestra, orchestral pop"
Ne Thang,Natural Elements,Natural Elements - Ne Thang.mp3,"hip hop, hardcore hip hop, rap, underground hip hop, united states"
Kalanta,Despina Vandi,Despina Vandi - Kalanta.mp3,"dance pop, british pop, modern laika, eurodance, club"
Rain Love,Al Denson,Al Denson - Rain Love.mp3,"ccm, christian music, california, christian, beautiful"
Rappin' About Rappin' (Uh-Uh-Uh),Junie,Junie - Rappin' About Rappin' (Uh-Uh-Uh).mp3,"funk rock, funk, jazz, hip hop, rap"
La Alegria del Batallón (Guajira),Alfredo Kraus,Alfredo Kraus - La Alegria del Batallón (Guajira).mp3,"opera, bel canto, latin pop, jazz, classical"
Presenting The Eight Wonder Of The World,Max Steiner,Max Steiner - Presenting The Eight Wonder Of The World.mp3,"soundtrack, german pop, chanson, easy listening, film music"
The Same God (feat. Commissioned & The Christ Church Choir),Carman,Carman - The Same God (feat. Commissioned & The Christ Church Choir).mp3,"ccm, gospel, christian rock, contemporary christian, contemporary gospel"
Where Is The Love?,Bobby Broom,Bobby Broom - Where Is The Love_.mp3,"soul jazz, jazz funk, hard bop, disco, electro"
Nomades monades,Frédéric Galliano,Frédéric Galliano - Nomades monades.mp3,"future jazz, tribal house, broken beat, tech house, progressive house"
Hidden Sun,Room 5,Room 5 - Hidden Sun.mp3,"disco, deep house, vocal house, tech house, progressive house"
"Khachaturian: Trio (1932), Movement 3: Moderato",STRATA / Audrey Andrist,"STRATA _ Audrey Andrist - Khachaturian_ Trio (1932), Movement 3_ Moderato.mp3","post-grunge, jungle music, modern rock, nu metal, southern rock"
I'm on My Way Blues,Washboard Sam,Washboard Sam - I'm on My Way Blues.mp3,"delta blues, chicago blues, ragtime, louisiana blues, smooth jazz"
Comerte a Besos (Bachata Version),Frankie Negrón,Frankie Negrón - Comerte a Besos (Bachata Version).mp3,"salsa, pop rock, bachata, merengue, acid jazz"
I'm Gonna Move To The Outskirts Of Town (Live),Albert King,Albert King - I'm Gonna Move To The Outskirts Of Town (Live).mp3,"electric blues, soul blues, blues, blues-rock, chicago blues"
Hector Small (Original mix),Fabrication,Fabrication - Hector Small (Original mix).mp3,"happy hardcore, europop, progressive house, neo soul, kraut rock"
"It's All Wrong, but It's All Right",Dolly Parton,"Dolly Parton - It's All Wrong, but It's All Right.mp3","bluegrass, singer-songwriter, female vocalist, country, pop"
Standing Knee Deep In A River (Dying Of Thirst),Kathy Mattea,Kathy Mattea - Standing Knee Deep In A River (Dying Of Thirst).mp3,"bluegrass, country rock, contemporary country, country, country pop"
The Munster Cloak,Seamus Egan,Seamus Egan - The Munster Cloak.mp3,"irish folk, celtic, traditional, folk, irish"
Ese Que Traes A Tu Lado,Los Barón De Apodaca,Los Barón De Apodaca - Ese Que Traes A Tu Lado.mp3,"mariachi, ranchera, latin pop, los angeles, spanish"
